"id","fullname","email","phoneNumber","address","dob","password","role","hashedRefreshToken","createdAt","updatedAt"
1,"John Doe updated(3)","johndoe@gmail.com","09456783","no.20 targz road compressed city","1991-02-03T00:00:00.000Z",,"USER",,"2026-04-25T09:09:19.292Z","2026-04-26T09:08:33.598Z"
2,"John Beaver","johnbeaver@gmail.com","09456784","no.21 targz road compressed city","1991-02-04T00:00:00.000Z",,"USER",,"2026-04-25T09:10:49.364Z","2026-04-25T09:10:49.364Z"
3,"Amie Greenfelder","lillian61@haag.com","+12347522552","28337 Madelyn Turnpike Suite 499","1971-08-11T00:00:00.000Z",,"USER",,"2026-04-25T09:27:38.782Z","2026-04-25T09:27:38.782Z"
4,"Lukas Muller","caroline.green@gmail.com","+18655227277","510 Borer Pike Apt. 266","1960-12-23T00:00:00.000Z",,"USER",,"2026-04-25T09:28:26.313Z","2026-04-25T09:28:26.313Z"
5,"Jett Tromp","enid.yost@kunze.com","+15417311807","27764 Paris Falls Suite 002","1987-10-17T00:00:00.000Z",,"USER",,"2026-04-25T09:29:06.896Z","2026-04-25T09:29:06.896Z"
6,"Aung Aung","aungaung@gmail.com","123-456-7890","123 Main St, Anytown, USA","1990-01-01T00:00:00.000Z",,"USER",,"2026-04-25T10:07:09.176Z","2026-04-25T10:07:09.176Z"
7,"Maung Hla updated(2)","maunghla@gmail.com","123-456-7890","123 Main St, Anytown, USA","1990-01-01T00:00:00.000Z",,"USER",,"2026-04-25T10:08:33.484Z","2026-04-25T10:10:11.702Z"
8,"Albina Flatley","garry.sipes@lemke.info","+17157547624",,"1955-06-30T00:00:00.000Z","$2b$10$OcEvo0DTXvkDeT.Qi1ARj.g5dTKthYx98LHAo95GSZmAjgLgbE/Ju","USER","$2b$10$r0DfGSrEXJED2wPIVzKSHOG3OYaD61kbdZQqctVTOgHstob6Qn0rC","2026-04-26T06:32:45.920Z","2026-05-02T09:18:38.477Z"
9,"Albina Flatley2","garry.sipes@lemke2.info","+17157547624",,"1955-06-30T00:00:00.000Z","$2b$10$EdhgXtZvAn6HfVIegxLL3OPnBUd3ya8PxcJnFQSejQqU0Jhm9C2Jy","USER","$2b$10$2iqIF0wGmHdfoqSHpsRTTOadxQG8BRB6kGlJCi.k0NXy8PzqLagxO","2026-04-26T08:46:40.883Z","2026-04-26T08:46:40.938Z"
11,"Albina Flatley updated(4)","garry.sipes2@lemke.info","123-456-7890","123 Main St, Anytown, USA","1990-01-01T00:00:00.000Z","$2b$10$.9E3EwncCitqqnqUpAXGf.Vbe2Tehwc.a/U9sdVOlwqTUb4OLUg2i","USER","$2b$10$UmU3100MNdvKsX8xS0eam.E.AV59ukK.h6vi7S8TLoPYLjipLKR46","2026-04-26T09:37:30.068Z","2026-04-27T08:04:03.874Z"
19,"Albina Flatley3","garry.sipes@lemke3.info","+17157547625",,"1955-06-30T00:00:00.000Z","$2b$10$LqsoUmHkfH08iuznJ2Lm9eXyumITkb81aWiev1cTTvynkEv2..fVW","USER","$2b$10$Q8gDgVNvsN2L/7A.lXnoFOKYQtGDPyvGhXsM0.I.eV8/Esi2uP/uO","2026-04-28T08:54:14.398Z","2026-04-28T08:54:14.456Z"
